id,username,article_file,type,title,description,author,cover_image,publish_date
admin_1731857940000,admin,学院简介.html,article,武汉大学学院概览,探索武汉大学各学院的学科特色与学术优势，了解我校在人文、理工、医学等领域的卓越成就和教育理念。商学院、法学院、理工科学院等多个学院的详细介绍。,学术办公室,/workplace/share/backgrounds/glasscurtains_light.webp,2025-11-15
admin_1731857945000,admin,科研创新与学术前沿.html,article,科研创新与学术前沿,武汉大学在量子科学、生命科学、空间信息等领域的最新研究成果，引领学术发展方向。年度SCI论文1200+篇，发明专利350+项，科研经费15亿元。,科研处,/workplace/share/backgrounds/futurecity_light.webp,2025-11-12
admin_1731857946000,admin,国际化办学与全球视野.html,article,国际化办学与全球视野,深入了解武汉大学的国际合作项目、海外交流机会以及培养具有全球竞争力人才的教育模式。与全球400+所高校建立合作关系，每年2000+学生出国交流。,国际交流部,/workplace/share/backgrounds/montclair_light.webp,2025-11-08
admin_1731857947000,admin,樱花树下的青春故事.html,blog,樱花树下的青春故事,又是一年樱花季，珞珈山的樱花如约而至。在这片粉色的海洋中，记录下属于武大学子的美好时光。从初识武大到即将毕业，樱花见证了我的青春与成长。,张晓梅 - 文学院2023级,/workplace/share/backgrounds/petals_light.webp,2025-03-25
admin_1731857948000,admin,图书馆的日日夜夜.html,blog,我在图书馆度过的日日夜夜,从清晨到深夜，图书馆见证了无数武大学子的奋斗时光。分享我与图书馆的不解之缘和学习心得。3650+小时学习时长，50000+行代码，200+本专业书籍。,李明哲 - 计算机学院2022级,/workplace/share/backgrounds/whu.webp,2025-11-10
admin_1731857949000,admin,东湖边的思考与成长.html,blog,东湖边的思考与成长,漫步在东湖绿道，思考人生的方向。记录在武大四年间的成长轨迹和对未来的憧憬与规划。从迷茫到坚定，从青涩到成熟，东湖见证了我的哲学之路。,王雨欣 - 哲学院2021级,/workplace/share/backgrounds/mermaid_light.webp,2025-11-05
admin_1731857950000,admin,校园导览.html,news,春季校园开放日即将启动,武汉大学2025年春季校园开放日将于3月举行，欢迎各界人士参观美丽的珞珈山校园，共赏樱花盛景。樱花大道、图书馆、历史建筑群等景点等您来探索。,校办新闻中心,/workplace/share/backgrounds/whu.webp,2025-11-17
admin_1731857960000,admin,学生服务.html,news,学生服务中心全面升级,"为更好服务广大学生，学生服务中心完成数字化改造，推出""一站式""在线服务平台，办事更便捷高效。学籍管理、住宿服务、在线平台全面优化。",学生工作部,/workplace/share/backgrounds/flight_light.webp,2025-11-16
admin_1731857961000,admin,校运动会圆满落幕.html,news,校运动会圆满落幕,武汉大学第68届田径运动会成功举办，各学院代表队展现出色竞技水平，刷新多项校园记录。3000+运动员参赛，打破校运会纪录8项，10000+观众现场观战。,体育部,/workplace/share/backgrounds/futurecity_dark.webp,2025-11-14
sienee.w@gmail.com_1763434249577,sienee.w@gmail.com,校运会正式开始.html,news,WHU 校运会 开始了,10月22日上午8时，随着灿烂的阳光温暖了微凉的清晨，武汉理工大学第十八届校运动会在南湖体育场隆重举行。本次运动会共历时三天，设立了诸如跳远、标枪和100米等多达49个项目，来自我院的101位运动员，196位方阵和啦啦队成员参与了本届运动会。,sienee.w@gmail.com,/workplace/share/backgrounds/petals_light.webp,2025-11-18
